Year,Date,Day of Week,Holiday,Category,Confidence,Notes
2009,2009-05-01 00:00:00,Friday,May Day (International Workers' Day),National,Confirmed,
2009,2009-08-07 00:00:00,Friday,Shab-e-Barat,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2009,2009-08-15 00:00:00,Saturday,National Mourning Day,National,Confirmed,Discontinued from 2024 by the interim government
2009,2009-09-17 00:00:00,Thursday,Shab-e-Qadr (Laylat al-Qadr),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2009,2009-09-21 00:00:00,Monday,Eid-ul-Fitr,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2009,2009-09-22 00:00:00,Tuesday,Eid-ul-Fitr Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2009,2009-09-23 00:00:00,Wednesday,Eid-ul-Fitr Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2009,2009-09-29 00:00:00,Tuesday,Durga Puja (Vijaya Dashami),Religious (Hindu),Approximate,Main govt holiday day (Vijaya Dashami); some years add a 2nd day
2009,2009-11-07 00:00:00,Saturday,National Revolution and Solidarity Day,National,Confirmed,Discontinued from 2024 by the interim government
2009,2009-11-28 00:00:00,Saturday,Eid-ul-Adha,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2009,2009-11-29 00:00:00,Sunday,Eid-ul-Adha Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2009,2009-11-30 00:00:00,Monday,Eid-ul-Adha Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2009,2009-12-16 00:00:00,Wednesday,Victory Day,National,Confirmed,
2009,2009-12-25 00:00:00,Friday,Christmas Day,Religious (Christian),Confirmed,
2009,2009-12-27 00:00:00,Sunday,Ashura,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2009,2010-02-26 00:00:00,Friday,Eid-e-Miladunnabi (Mawlid),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2010,2010-02-21 00:00:00,Sunday,Ekushey February (Language Movement / Martyrs' Day),National,Confirmed,
2010,2010-03-26 00:00:00,Friday,Independence Day,National,Confirmed,
2010,2010-04-14 00:00:00,Wednesday,Bengali New Year (Pohela Boishakh),Cultural/National,Confirmed,
2010,2010-05-01 00:00:00,Saturday,May Day (International Workers' Day),National,Confirmed,
2010,2010-07-27 00:00:00,Tuesday,Shab-e-Barat,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2010,2010-08-15 00:00:00,Sunday,National Mourning Day,National,Confirmed,Discontinued from 2024 by the interim government
2010,2010-09-06 00:00:00,Monday,Shab-e-Qadr (Laylat al-Qadr),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2010,2010-09-10 00:00:00,Friday,Eid-ul-Fitr,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2010,2010-09-11 00:00:00,Saturday,Eid-ul-Fitr Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2010,2010-09-12 00:00:00,Sunday,Eid-ul-Fitr Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2010,2010-10-17 00:00:00,Sunday,Durga Puja (Vijaya Dashami),Religious (Hindu),Confirmed,Main govt holiday day (Vijaya Dashami); some years add a 2nd day
2010,2010-11-07 00:00:00,Sunday,National Revolution and Solidarity Day,National,Confirmed,Discontinued from 2024 by the interim government
2010,2010-11-17 00:00:00,Wednesday,Eid-ul-Adha,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2010,2010-11-18 00:00:00,Thursday,Eid-ul-Adha Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2010,2010-11-19 00:00:00,Friday,Eid-ul-Adha Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2010,2010-12-16 00:00:00,Thursday,Victory Day,National,Confirmed,
2010,2010-12-16 00:00:00,Thursday,Ashura,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2010,2010-12-25 00:00:00,Saturday,Christmas Day,Religious (Christian),Confirmed,
2010,2011-02-15 00:00:00,Tuesday,Eid-e-Miladunnabi (Mawlid),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2011,2011-02-21 00:00:00,Monday,Ekushey February (Language Movement / Martyrs' Day),National,Confirmed,
2011,2011-03-26 00:00:00,Saturday,Independence Day,National,Confirmed,
2011,2011-04-14 00:00:00,Thursday,Bengali New Year (Pohela Boishakh),Cultural/National,Confirmed,
2011,2011-05-01 00:00:00,Sunday,May Day (International Workers' Day),National,Confirmed,
2011,2011-07-17 00:00:00,Sunday,Shab-e-Barat,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2011,2011-08-15 00:00:00,Monday,National Mourning Day,National,Confirmed,Discontinued from 2024 by the interim government
2011,2011-08-27 00:00:00,Saturday,Shab-e-Qadr (Laylat al-Qadr),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2011,2011-08-31 00:00:00,Wednesday,Eid-ul-Fitr,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2011,2011-09-01 00:00:00,Thursday,Eid-ul-Fitr Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2011,2011-09-02 00:00:00,Friday,Eid-ul-Fitr Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2011,2011-10-06 00:00:00,Thursday,Durga Puja (Vijaya Dashami),Religious (Hindu),Confirmed,Main govt holiday day (Vijaya Dashami); some years add a 2nd day
2011,2011-11-07 00:00:00,Monday,National Revolution and Solidarity Day,National,Confirmed,Discontinued from 2024 by the interim government
2011,2011-11-07 00:00:00,Monday,Eid-ul-Adha,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2011,2011-11-08 00:00:00,Tuesday,Eid-ul-Adha Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2011,2011-11-09 00:00:00,Wednesday,Eid-ul-Adha Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2011,2011-12-06 00:00:00,Tuesday,Ashura,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2011,2011-12-16 00:00:00,Friday,Victory Day,National,Confirmed,
2011,2011-12-25 00:00:00,Sunday,Christmas Day,Religious (Christian),Confirmed,
2011,2012-02-05 00:00:00,Sunday,Eid-e-Miladunnabi (Mawlid),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2012,2012-02-21 00:00:00,Tuesday,Ekushey February (Language Movement / Martyrs' Day),National,Confirmed,
2012,2012-03-26 00:00:00,Monday,Independence Day,National,Confirmed,
2012,2012-04-14 00:00:00,Saturday,Bengali New Year (Pohela Boishakh),Cultural/National,Confirmed,
2012,2012-05-01 00:00:00,Tuesday,May Day (International Workers' Day),National,Confirmed,
2012,2012-07-05 00:00:00,Thursday,Shab-e-Barat,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2012,2012-08-15 00:00:00,Wednesday,National Mourning Day,National,Confirmed,Discontinued from 2024 by the interim government
2012,2012-08-15 00:00:00,Wednesday,Shab-e-Qadr (Laylat al-Qadr),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2012,2012-08-19 00:00:00,Sunday,Eid-ul-Fitr,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2012,2012-08-20 00:00:00,Monday,Eid-ul-Fitr Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2012,2012-08-21 00:00:00,Tuesday,Eid-ul-Fitr Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2012,2012-10-24 00:00:00,Wednesday,Durga Puja (Vijaya Dashami),Religious (Hindu),Confirmed,Main govt holiday day (Vijaya Dashami); some years add a 2nd day
2012,2012-10-26 00:00:00,Friday,Eid-ul-Adha,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2012,2012-10-27 00:00:00,Saturday,Eid-ul-Adha Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2012,2012-10-28 00:00:00,Sunday,Eid-ul-Adha Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2012,2012-11-07 00:00:00,Wednesday,National Revolution and Solidarity Day,National,Confirmed,Discontinued from 2024 by the interim government
2012,2012-11-24 00:00:00,Saturday,Ashura,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2012,2012-12-16 00:00:00,Sunday,Victory Day,National,Confirmed,
2012,2012-12-25 00:00:00,Tuesday,Christmas Day,Religious (Christian),Confirmed,
2012,2013-01-24 00:00:00,Thursday,Eid-e-Miladunnabi (Mawlid),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2013,2013-02-21 00:00:00,Thursday,Ekushey February (Language Movement / Martyrs' Day),National,Confirmed,
2013,2013-03-26 00:00:00,Tuesday,Independence Day,National,Confirmed,
2013,2013-04-14 00:00:00,Sunday,Bengali New Year (Pohela Boishakh),Cultural/National,Confirmed,
2013,2013-05-01 00:00:00,Wednesday,May Day (International Workers' Day),National,Confirmed,
2013,2013-06-24 00:00:00,Monday,Shab-e-Barat,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2013,2013-08-04 00:00:00,Sunday,Shab-e-Qadr (Laylat al-Qadr),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2013,2013-08-08 00:00:00,Thursday,Eid-ul-Fitr,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2013,2013-08-09 00:00:00,Friday,Eid-ul-Fitr Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2013,2013-08-10 00:00:00,Saturday,Eid-ul-Fitr Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2013,2013-08-15 00:00:00,Thursday,National Mourning Day,National,Confirmed,Discontinued from 2024 by the interim government
2013,2013-10-14 00:00:00,Monday,Durga Puja (Vijaya Dashami),Religious (Hindu),Confirmed,Main govt holiday day (Vijaya Dashami); some years add a 2nd day
2013,2013-10-15 00:00:00,Tuesday,Eid-ul-Adha,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2013,2013-10-16 00:00:00,Wednesday,Eid-ul-Adha Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2013,2013-10-17 00:00:00,Thursday,Eid-ul-Adha Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2013,2013-11-07 00:00:00,Thursday,National Revolution and Solidarity Day,National,Confirmed,Discontinued from 2024 by the interim government
2013,2013-11-13 00:00:00,Wednesday,Ashura,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2013,2013-12-16 00:00:00,Monday,Victory Day,National,Confirmed,
2013,2013-12-25 00:00:00,Wednesday,Christmas Day,Religious (Christian),Confirmed,
2013,2014-01-13 00:00:00,Monday,Eid-e-Miladunnabi (Mawlid),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2014,2014-02-21 00:00:00,Friday,Ekushey February (Language Movement / Martyrs' Day),National,Confirmed,
2014,2014-03-26 00:00:00,Wednesday,Independence Day,National,Confirmed,
2014,2014-04-14 00:00:00,Monday,Bengali New Year (Pohela Boishakh),Cultural/National,Confirmed,
2014,2014-05-01 00:00:00,Thursday,May Day (International Workers' Day),National,Confirmed,
2014,2014-06-13 00:00:00,Friday,Shab-e-Barat,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2014,2014-07-24 00:00:00,Thursday,Shab-e-Qadr (Laylat al-Qadr),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2014,2014-07-28 00:00:00,Monday,Eid-ul-Fitr,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2014,2014-07-29 00:00:00,Tuesday,Eid-ul-Fitr Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2014,2014-07-30 00:00:00,Wednesday,Eid-ul-Fitr Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2014,2014-08-15 00:00:00,Friday,National Mourning Day,National,Confirmed,Discontinued from 2024 by the interim government
2014,2014-10-04 00:00:00,Saturday,Durga Puja (Vijaya Dashami),Religious (Hindu),Confirmed,Main govt holiday day (Vijaya Dashami); some years add a 2nd day
2014,2014-10-05 00:00:00,Sunday,Eid-ul-Adha,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2014,2014-10-06 00:00:00,Monday,Eid-ul-Adha Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2014,2014-10-07 00:00:00,Tuesday,Eid-ul-Adha Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2014,2014-11-03 00:00:00,Monday,Ashura,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2014,2014-11-07 00:00:00,Friday,National Revolution and Solidarity Day,National,Confirmed,Discontinued from 2024 by the interim government
2014,2014-12-16 00:00:00,Tuesday,Victory Day,National,Confirmed,
2014,2014-12-25 00:00:00,Thursday,Christmas Day,Religious (Christian),Confirmed,
2014,2015-01-03 00:00:00,Saturday,Eid-e-Miladunnabi (Mawlid),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2015,2015-02-21 00:00:00,Saturday,Ekushey February (Language Movement / Martyrs' Day),National,Confirmed,
2015,2015-03-17 00:00:00,Tuesday,Sheikh Mujibur Rahman's Birthday & National Children's Day,National,Approximate start year,Became a public holiday circa mid-2010s; discontinued from 2024
2015,2015-03-26 00:00:00,Thursday,Independence Day,National,Confirmed,
2015,2015-04-14 00:00:00,Tuesday,Bengali New Year (Pohela Boishakh),Cultural/National,Confirmed,
2015,2015-05-01 00:00:00,Friday,May Day (International Workers' Day),National,Confirmed,
2015,2015-06-03 00:00:00,Wednesday,Shab-e-Barat,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2015,2015-07-14 00:00:00,Tuesday,Shab-e-Qadr (Laylat al-Qadr),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2015,2015-07-18 00:00:00,Saturday,Eid-ul-Fitr,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2015,2015-07-19 00:00:00,Sunday,Eid-ul-Fitr Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2015,2015-07-20 00:00:00,Monday,Eid-ul-Fitr Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2015,2015-08-15 00:00:00,Saturday,National Mourning Day,National,Confirmed,Discontinued from 2024 by the interim government
2015,2015-09-25 00:00:00,Friday,Eid-ul-Adha,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2015,2015-09-26 00:00:00,Saturday,Eid-ul-Adha Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2015,2015-09-27 00:00:00,Sunday,Eid-ul-Adha Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2015,2015-10-22 00:00:00,Thursday,Durga Puja (Vijaya Dashami),Religious (Hindu),Confirmed,Main govt holiday day (Vijaya Dashami); some years add a 2nd day
2015,2015-10-24 00:00:00,Saturday,Ashura,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2015,2015-11-07 00:00:00,Saturday,National Revolution and Solidarity Day,National,Confirmed,Discontinued from 2024 by the interim government
2015,2015-12-16 00:00:00,Wednesday,Victory Day,National,Confirmed,
2015,2015-12-24 00:00:00,Thursday,Eid-e-Miladunnabi (Mawlid),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2015,2015-12-25 00:00:00,Friday,Christmas Day,Religious (Christian),Confirmed,
2016,2016-02-21 00:00:00,Sunday,Ekushey February (Language Movement / Martyrs' Day),National,Confirmed,
2016,2016-03-17 00:00:00,Thursday,Sheikh Mujibur Rahman's Birthday & National Children's Day,National,Approximate start year,Became a public holiday circa mid-2010s; discontinued from 2024
2016,2016-03-26 00:00:00,Saturday,Independence Day,National,Confirmed,
2016,2016-04-14 00:00:00,Thursday,Bengali New Year (Pohela Boishakh),Cultural/National,Confirmed,
2016,2016-05-01 00:00:00,Sunday,May Day (International Workers' Day),National,Confirmed,
2016,2016-05-22 00:00:00,Sunday,Shab-e-Barat,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2016,2016-07-02 00:00:00,Saturday,Shab-e-Qadr (Laylat al-Qadr),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2016,2016-07-06 00:00:00,Wednesday,Eid-ul-Fitr,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2016,2016-07-07 00:00:00,Thursday,Eid-ul-Fitr Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2016,2016-07-08 00:00:00,Friday,Eid-ul-Fitr Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2016,2016-08-15 00:00:00,Monday,National Mourning Day,National,Confirmed,Discontinued from 2024 by the interim government
2016,2016-09-11 00:00:00,Sunday,Eid-ul-Adha,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2016,2016-09-12 00:00:00,Monday,Eid-ul-Adha Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2016,2016-09-13 00:00:00,Tuesday,Eid-ul-Adha Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2016,2016-10-07 00:00:00,Friday,Durga Puja (Vijaya Dashami),Religious (Hindu),Confirmed,Main govt holiday day (Vijaya Dashami); some years add a 2nd day
2016,2016-10-10 00:00:00,Monday,Ashura,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2016,2016-11-07 00:00:00,Monday,National Revolution and Solidarity Day,National,Confirmed,Discontinued from 2024 by the interim government
2016,2016-12-10 00:00:00,Saturday,Eid-e-Miladunnabi (Mawlid),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2016,2016-12-16 00:00:00,Friday,Victory Day,National,Confirmed,
2016,2016-12-25 00:00:00,Sunday,Christmas Day,Religious (Christian),Confirmed,
2017,2017-02-21 00:00:00,Tuesday,Ekushey February (Language Movement / Martyrs' Day),National,Confirmed,
2017,2017-03-17 00:00:00,Friday,Sheikh Mujibur Rahman's Birthday & National Children's Day,National,Approximate start year,Became a public holiday circa mid-2010s; discontinued from 2024
2017,2017-03-26 00:00:00,Sunday,Independence Day,National,Confirmed,
2017,2017-04-14 00:00:00,Friday,Bengali New Year (Pohela Boishakh),Cultural/National,Confirmed,
2017,2017-05-01 00:00:00,Monday,May Day (International Workers' Day),National,Confirmed,
2017,2017-05-12 00:00:00,Friday,Shab-e-Barat,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2017,2017-06-22 00:00:00,Thursday,Shab-e-Qadr (Laylat al-Qadr),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2017,2017-06-26 00:00:00,Monday,Eid-ul-Fitr,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2017,2017-06-27 00:00:00,Tuesday,Eid-ul-Fitr Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2017,2017-06-28 00:00:00,Wednesday,Eid-ul-Fitr Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2017,2017-08-15 00:00:00,Tuesday,National Mourning Day,National,Confirmed,Discontinued from 2024 by the interim government
2017,2017-09-02 00:00:00,Saturday,Eid-ul-Adha,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2017,2017-09-03 00:00:00,Sunday,Eid-ul-Adha Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2017,2017-09-04 00:00:00,Monday,Eid-ul-Adha Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2017,2017-09-26 00:00:00,Tuesday,Durga Puja (Vijaya Dashami),Religious (Hindu),Confirmed,Main govt holiday day (Vijaya Dashami); some years add a 2nd day
2017,2017-10-01 00:00:00,Sunday,Ashura,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2017,2017-11-07 00:00:00,Tuesday,National Revolution and Solidarity Day,National,Confirmed,Discontinued from 2024 by the interim government
2017,2017-12-01 00:00:00,Friday,Eid-e-Miladunnabi (Mawlid),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2017,2017-12-16 00:00:00,Saturday,Victory Day,National,Confirmed,
2017,2017-12-25 00:00:00,Monday,Christmas Day,Religious (Christian),Confirmed,
2018,2018-02-21 00:00:00,Wednesday,Ekushey February (Language Movement / Martyrs' Day),National,Confirmed,
2018,2018-03-17 00:00:00,Saturday,Sheikh Mujibur Rahman's Birthday & National Children's Day,National,Approximate start year,Became a public holiday circa mid-2010s; discontinued from 2024
2018,2018-03-26 00:00:00,Monday,Independence Day,National,Confirmed,
2018,2018-04-14 00:00:00,Saturday,Bengali New Year (Pohela Boishakh),Cultural/National,Confirmed,
2018,2018-05-01 00:00:00,Tuesday,May Day (International Workers' Day),National,Confirmed,
2018,2018-05-01 00:00:00,Tuesday,Shab-e-Barat,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2018,2018-06-11 00:00:00,Monday,Shab-e-Qadr (Laylat al-Qadr),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2018,2018-06-15 00:00:00,Friday,Eid-ul-Fitr,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2018,2018-06-16 00:00:00,Saturday,Eid-ul-Fitr Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2018,2018-06-17 00:00:00,Sunday,Eid-ul-Fitr Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2018,2018-08-15 00:00:00,Wednesday,National Mourning Day,National,Confirmed,Discontinued from 2024 by the interim government
2018,2018-08-22 00:00:00,Wednesday,Eid-ul-Adha,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2018,2018-08-23 00:00:00,Thursday,Eid-ul-Adha Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2018,2018-08-24 00:00:00,Friday,Eid-ul-Adha Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2018,2018-09-20 00:00:00,Thursday,Ashura,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2018,2018-10-19 00:00:00,Friday,Durga Puja (Vijaya Dashami),Religious (Hindu),Confirmed,Main govt holiday day (Vijaya Dashami); some years add a 2nd day
2018,2018-11-07 00:00:00,Wednesday,National Revolution and Solidarity Day,National,Confirmed,Discontinued from 2024 by the interim government
2018,2018-11-20 00:00:00,Tuesday,Eid-e-Miladunnabi (Mawlid),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2018,2018-12-16 00:00:00,Sunday,Victory Day,National,Confirmed,
2018,2018-12-25 00:00:00,Tuesday,Christmas Day,Religious (Christian),Confirmed,
2019,2019-02-21 00:00:00,Thursday,Ekushey February (Language Movement / Martyrs' Day),National,Confirmed,
2019,2019-03-17 00:00:00,Sunday,Sheikh Mujibur Rahman's Birthday & National Children's Day,National,Approximate start year,Became a public holiday circa mid-2010s; discontinued from 2024
2019,2019-03-26 00:00:00,Tuesday,Independence Day,National,Confirmed,
2019,2019-04-14 00:00:00,Sunday,Bengali New Year (Pohela Boishakh),Cultural/National,Confirmed,
2019,2019-04-21 00:00:00,Sunday,Shab-e-Barat,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2019,2019-05-01 00:00:00,Wednesday,May Day (International Workers' Day),National,Confirmed,
2019,2019-06-01 00:00:00,Saturday,Shab-e-Qadr (Laylat al-Qadr),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2019,2019-06-05 00:00:00,Wednesday,Eid-ul-Fitr,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2019,2019-06-06 00:00:00,Thursday,Eid-ul-Fitr Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2019,2019-06-07 00:00:00,Friday,Eid-ul-Fitr Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2019,2019-08-12 00:00:00,Monday,Eid-ul-Adha,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2019,2019-08-13 00:00:00,Tuesday,Eid-ul-Adha Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2019,2019-08-14 00:00:00,Wednesday,Eid-ul-Adha Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
